Idade:,Grau de Escolaridade:,Você participou ou está participando de algum curso ou disciplina online?,Quantos cursos ou disciplinas online você já participou?,"Entre os cursos ou disciplinas online que você participa ou já participou, escolha um curso ou uma disciplina que você sentiu ou sente mais dificuldade. ",Informe qual nota você obteve nesta disciplina.,Estou confiante que posso concluir as atividades do curso/disciplina online com sucesso.,Eu acredito que sou capaz de aprender o material do meu curso/disciplina online.,"Eu consigo me motivar a começar minhas tarefas online, mesmo quando não estou com vontade.",Eu fico motivado(a) a estudar online porque acho o conteúdo interessante.,Eu acho que as atividades online são relevantes para meus objetivos pessoais e profissionais.,Eu defino metas claras para o que quero alcançar em cada sessão de estudo online.,Eu monitoro regularmente meu entendimento durante o estudo online.,Eu ajusto minha abordagem de estudo quando percebo que não estou entendendo o material.,Eu reflito sobre a eficácia das minhas estratégias de aprendizagem após concluir uma tarefa online.,Eu planejo minha abordagem de estudo antes de começar uma tarefa online. ,Eu analiso minhas falhas para melhorar meu desempenho em futuras atividades online.,Eu estabeleço metas específicas para guiar meu estudo online.,Eu faço resumos ou mapas mentais para ajudar a compreender o material. ,Eu organizo meus materiais de estudo para que sejam facilmente acessíveis durante o aprendizado online.,"Eu uso diferentes recursos (vídeos, artigos, fóruns) para complementar meu estudo online. ","Eu reviso regularmente, após cada sessão de estudo online, o material do curso para assegurar que eu compreendi o conteúdo.","Quando fico estressado(a) com minhas tarefas online, eu sei como gerenciar esse estresse.","Eu consigo manter a calma e a concentração, mesmo quando enfrento dificuldades nas atividades online. ",Eu uso técnicas específicas para gerenciar minhas emoções durante o estudo online. ,Eu tento manter uma atitude positiva em relação às minhas tarefas de aprendizagem online. ,Eu lido bem com a frustração quando encontro dificuldades em meu estudo online.,"Quando encontro dificuldades, busco ajuda de colegas, tutores, professores ou fóruns de discussão.",Eu escolho um ambiente livre de distrações para realizar minhas atividades online. ,Eu tenho um cronograma regular para minhas atividades de estudo online. ,"Eu utilizo os recursos oferecidos pelo curso online, como fóruns de discussão e materiais complementares. ",Eu mantenho meu espaço de estudo organizado e pronto para minhas sessões de aprendizado. ,Eu garanto que tenho todos os materiais necessários antes de começar minhas atividades online.,"Me sinto confortável em tomar decisões sobre minha própria aprendizagem online (por exemplo, escolher que tópicos estudar primeiro).",Eu assumo a responsabilidade pelo meu próprio progresso no curso/disciplina online.,Eu avalio com frequência meu próprio desempenho e progresso no curso/disciplina online.,Eu me sinto responsável pelo meu próprio aprendizado e progresso no curso/disciplina online.,"Eu tomo decisões sobre minha própria aprendizagem, como escolher que tópicos estudar primeiro.",Eu frequentemente avalio meu próprio desempenho e progresso no curso/disciplina online.,Eu ajusto meus métodos de estudo de acordo com as necessidades do curso/disciplina online.,Eu mantenho um registro das minhas atividades e progresso no curso/disciplina online.
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Anatomia,4,5,6,3,6,6,6,5,6,4,3,7,5,3,3,7,6,4,5,3,5,4,3,5,2,2,3,2,7,5,3,5,6,5,5,3
41 a 50 anos,Mestrado,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 a 50 anos,Especialização,Sim,5 a 8,Não senti dificuldade ,9,5,6,2,2,5,5,5,4,6,5,4,5,3,4,5,3,3,4,2,4,4,3,7,2,3,3,3,4,4,4,4,3,3,4,4
26 a 30 anos,Graduação,Sim,Mais de 8 cursos,geometria analítica e álgebra linear,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
31 a 40 anos,Especialização,Sim,5 a 8,Métricas e indicadores de tráfego ,7,7,7,2,3,6,1,3,3,3,2,5,2,6,4,7,1,4,6,7,7,5,2,4,1,2,1,1,5,7,3,7,7,3,4,1
31 a 40 anos,Graduação,Sim,1 a 4,Teologia ,8,5,5,5,5,7,5,5,5,5,6,6,6,5,6,5,6,4,5,5,5,6,5,7,6,5,6,6,6,6,6,6,6,6,6,6
21 a 25 anos,Graduação,Sim,1 a 4,Literatura e produção de texto ,5,6,6,4,5,7,5,6,5,5,5,6,6,3,5,7,6,6,5,6,6,4,3,4,3,6,6,4,6,6,6,6,6,6,6,6
26 a 30 anos,Especialização,Sim,1 a 4,Apenas internet mesmo ,4,1,3,3,4,4,4,5,6,5,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5
31 a 40 anos,Mestrado,Sim,1 a 4,Bncc ,9,3,6,3,5,5,3,3,5,4,4,4,5,4,4,5,3,2,2,2,3,4,3,4,3,5,5,3,4,5,3,5,4,4,4,4
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Cálculo,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
31 a 40 anos,Graduação,Sim,5 a 8,Física ,6,5,5,2,3,5,3,5,4,4,3,4,4,6,4,4,6,3,3,3,5,5,4,5,3,3,3,5,5,5,5,4,5,5,4,3
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Automação industrial ,7,6,6,5,6,7,6,6,6,7,6,5,7,4,4,7,6,4,3,6,6,5,5,4,5,5,3,6,5,7,6,5,4,4,5,5
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Engenharia elétrica ,7,5,3,3,3,6,4,4,4,4,3,3,3,2,4,7,4,3,4,4,4,4,3,6,4,3,4,4,3,4,5,5,4,4,4,4
